B 0
I X (650,Hellsing,632-282-8023)
R X 1073
R X 1245
R X 1766
I Y (1367,Bebop,136-876-5284)
G Y 747
I Y (586,Seras,266-333-1311)
M Y 813
R X 687
R Y 554
I X (1734,Seras,064-806-1652)
R X 1933
R X 1105
I Y (323,Deedlit,354-636-0734)
R Y 787
I Y (670,Hellsing,537-188-7281)
M X 449
I X (1187,Deedlit,203-251-6645)
R Y 1164
R Y 695
R Y 1187
R Y 881
R X 449
I X (457,Hellsing,358-826-6717)
R Y 444
R X 118
I X (156,Bebop,705-748-5337)
G Y 281
I Y (436,Deedlit,555-604-7886)
A
